session,headline,bar_ix,decided_label,prob_positive,prob_negative,prob_neutral,linear_score,polarity_score,cluster
0,Relvos Biosciences,6,neutral,0.38703200221061707,0.013454076834022999,0.5995139479637146,0.37357792537659407,0.9328112610929031,0
0,Orevex Renewables,12,positive,0.9480906128883362,0.012295335531234741,0.03961404785513878,0.9357952773571014,0.9743950105920112,1
0,Relvos Biosciences,14,neutral,0.06130674481391907,0.04027233645319939,0.8984208703041077,0.02103440836071968,0.20707421145434587,0
0,Calvis Sciences,20,positive,0.945059597492218,0.010088218376040459,0.04485210403800011,0.9349713791161776,0.9788761096494619,0
0,Yorvov Pharmaceuticals,22,positive,0.9477614164352417,0.012083150446414948,0.0401553250849247,0.9356782659888268,0.9748226924426274,0
0,Relvos Biosciences,26,negative,0.008312145248055458,0.9747974872589111,0.01689039170742035,-0.9664853420108557,-0.9830900939940865,0
0,Relvos Biosciences,26,positive,0.9481549263000488,0.012102395296096802,0.03974279388785362,0.936052531003952,0.9747934319034884,0
0,Calvis Sciences,33,positive,0.7601409554481506,0.008625008165836334,0.23123404383659363,0.7515159472823143,0.9775614190459977,0
0,Yorvov Pharmaceuticals,44,negative,0.026838155463337898,0.9472659230232239,0.025895969942212105,-0.920427767559886,-0.9448967383906575,0
0,Orevex Renewables,47,positive,0.9502614736557007,0.01390849519520998,0.03582997992634773,0.9363529784604907,0.9711492866815575,1
0,Orevex Renewables,48,negative,0.011351069435477257,0.9534801840782166,0.03516880050301552,-0.9421291146427393,-0.9764703519244957,1
1,Strynal Industries,3,negative,0.008307375013828278,0.9746861457824707,0.017006464302539825,-0.9663787707686424,-0.9830978021123729,1
1,Jorvis Fuels,5,positive,0.9557103514671326,0.02091573365032673,0.023373885080218315,0.9347946178168058,0.9571673653865289,1
1,Zrovex Industries,6,negative,0.024351945146918297,0.9560102820396423,0.0196376945823431,-0.931658336892724,-0.9503205143022214,1
1,Strynal Industries,6,positive,0.9523244500160217,0.014058800414204597,0.033616773784160614,0.9382656496018171,0.9709042951781338,1
1,Zrovex Industries,11,positive,0.9517610669136047,0.017141323536634445,0.0310975369066,0.9346197433769703,0.9646170260536202,1
1,Jorvis Fuels,12,positive,0.9328034520149231,0.01022124383598566,0.056975267827510834,0.9225822081789374,0.9783224249160855,1
1,Halvav Brands,14,negative,0.02169192209839821,0.9530057311058044,0.02530236355960369,-0.9313138090074062,-0.9554899460261681,2
