session,predicted_company,ensemble_score,n_headlines,score_margin,split
11000,Ervan Capital,0.4280441907592935,1,0.3776494328851298,private_test
11001,Relvan Software,0.5376194256494269,2,0.4993038594760581,private_test
11002,Jorvis Fuels,0.8184267127185156,4,0.7578315100604622,private_test
11003,Kelvik Power,0.5824213228707383,2,0.750811322025112,private_test
11004,Varvov Retail,0.8552823613296014,3,0.7229108467981699,private_test
11005,Ixenis Outlets,0.7422888210062557,3,0.9834204440666212,private_test
11006,Ixenis Outlets,0.7372096208639201,1,1.0434748155402604,private_test
11007,Plevum Partners,0.724319894546081,2,0.8908236183754712,private_test
11008,Jorval Trading,1.047466490574259,2,0.8573999330712068,private_test
11009,Plevyl Advisors,0.6799694967986372,3,0.32263169042290063,private_test
11010,Wyrnik Sciences,0.5036258783262287,3,0.5516983106282038,private_test
11011,Zelval Energy,0.5840952812488356,2,0.21613268160445614,private_test
11012,Zelvon Biosciences,0.7016786063132598,3,0.17280236114446212,private_test
11013,Xovol Goods,0.883698293448883,3,0.7308080406039499,private_test
11014,Crevol Retail,0.540568288961366,5,0.8263051782067675,private_test
11015,Ervan Capital,1.1577256681483428,4,0.88338731954361,private_test
11016,Arnos Marketplace,0.7183172241985225,2,0.7843758469334643,private_test
11017,Zelvix Therapeutics,0.6653637253001717,3,0.2852130726948964,private_test
11018,Wyrnor Solutions,0.5200751701593112,4,0.3093312162382525,private_test
11019,Talvep Computing,0.5285064832822736,2,0.34495394245636885,private_test
11020,Holtar Stores,0.7737154845295214,3,0.15903277624862422,private_test
11021,Brevon Microchips,0.4982660393087421,2,0.4258289956288822,private_test
11022,Ulvon Renewables,0.5303299647063524,2,1.0606599294127048,private_test
11023,Urvel Grid,0.679281974952517,3,0.6253395847667876,private_test
11024,Nolvol Resources,0.21281569254804122,4,0.21129664894564848,private_test
11025,Ilval Financial,0.5991734596660586,1,0.5490018005939301,private_test
11026,Kelvos Resources,0.6091400721231621,5,0.03240894958652141,private_test
11027,Myrnep Technologies,0.815639368715501,1,0.7634241893801708,private_test
11028,Krevum Pharmaceuticals,0.430280731223167,1,0.0027519170588148345,private_test
11029,Xovol Goods,0.6417154886637075,1,0.26798135429164127,private_test
11030,Brevep Systems,0.3535532651647478,2,0.7071065303294956,private_test
11031,Crevex Labs,0.14142225791996915,6,0.2828445158399388,private_test
11032,Prynis Systems,0.8531282061808042,5,0.7819235191544723,private_test
11033,Nolvol Resources,0.6841355265488872,3,0.017800457351276222,private_test
11034,Jovik Asset,0.5377712914281687,2,0.7990615348174869,private_test
11035,Pleven Trading,0.37632471190799044,1,0.09690690735413154,private_test
11036,Ervan Capital,0.940206035647007,3,1.013048921756713,private_test
11037,Plevum Partners,0.6787678760887771,3,0.11670058543440243,private_test
11038,Strynal Industries,0.8056485363596165,4,1.3945908210270965,private_test
11039,Xovep Stores,0.6756929165254204,2,0.3154503029121375,private_test
11040,Jorvis Fuels,0.6736740137319442,1,0.36666368436815416,private_test
11041,Relvos Biosciences,0.14038507050359528,4,0.02925359577357664,private_test
11042,Plevyl Advisors,0.38343787441372434,2,0.01960715424915538,private_test
11043,Nerven Grid,0.7749232533665039,3,0.7391561873033754,private_test
11044,Talvyn Goods,0.8769176807040036,1,1.091965269437294,private_test
11045,Halvix Holdings,0.4008750493580414,5,0.14975018874290263,private_test
11046,Orevov Solutions,0.8866689853957623,4,0.4481624882421511,private_test
11047,Crevex Labs,0.4903756468068541,1,0.5932488419440712,private_test
11048,Ixenis Outlets,0.6370278159882556,4,0.08654656926063575,private_test
11049,Orevar Marketplace,0.6266356114990272,2,0.17576088174879012,private_test
11050,Zelvix Therapeutics,0.47074640781629096,2,0.10327063748424092,private_test
11051,Talvix Holdings,0.5303296881159953,2,1.0606593762319907,private_test
11052,Jorvis Fuels,0.5867006294287924,2,0.06029724525580926,private_test
11053,Zelvon Biosciences,1.0456061168557942,3,1.3233154447516564,private_test
11054,Wrelal Financial,0.4565850417311316,3,0.25149844739689337,private_test
11055,Strynal Industries,0.49611204376295215,3,0.09272425706518334,private_test
11056,Ixenix Technologies,0.3393512116533386,4,0.3285319442873577,private_test
11057,Zrovex Industries,0.6938524569949392,2,0.20934502030953994,private_test
11058,Zrovov Advisors,0.1459446220881867,2,0.028967613173976364,private_test
11059,Zrovum Biopharma,0.6465025234036549,3,0.5340818934307683,private_test
11060,Talvep Computing,0.7381972460487789,3,0.7977484624429519,private_test
11061,Krevum Pharmaceuticals,0.7586604010726242,2,0.5149372198352655,private_test
11062,Talvep Computing,0.6476563608675678,2,0.5173949139495152,private_test
11063,Xelvol Biotech,0.8032322872373883,3,0.5053592767230304,private_test
11064,Plevik Energy,0.6515285540080438,2,0.5713740596895504,private_test
11065,Arnos Marketplace,0.996529522815401,4,0.9393127533973438,private_test
11066,Ervan Capital,0.6357002403270908,2,0.1592264499482126,private_test
11067,Holtar Stores,0.49787147972773765,2,0.13579974676529932,private_test
11068,Frelol Software,1.0807515639262815,2,1.238311923959597,private_test
11069,Talvix Holdings,0.9860152064499363,3,1.091386758746055,private_test
11070,Plevum Partners,0.21213205700471913,2,0.4242641140094383,private_test
11071,Jorvis Fuels,0.8113122559483092,2,0.573521035468636,private_test
11072,Nerven Grid,0.9808144294071555,4,0.6751153304395399,private_test
11073,Arnik Commerce,0.6756742333995092,1,0.5733692438554687,private_test
11074,Wrelal Financial,0.35355325492358536,3,0.7071065098471707,private_test
11075,Halven Investments,0.8407281794963066,1,0.901592778514367,private_test
11076,Krevum Pharmaceuticals,0.28073375578504667,3,0.36396189087887887,private_test
11077,Halvix Holdings,0.6616042958765745,1,0.0350173764963706,private_test
11078,Kelvik Power,0.47092199520058187,1,1.348622572037929,private_test
11079,Frelol Software,0.8680054494967117,3,0.14228077899446556,private_test
11080,Kelvik Power,0.5476372992588678,4,0.6194473267142246,private_test
11081,Plevyl Advisors,0.9879279316299713,3,0.6107487240224592,private_test
11082,Plevyl Advisors,0.3858838887852168,2,0.4165005320740181,private_test
11083,Ervan Capital,0.29956813316248426,3,0.42866346586333826,private_test
11084,Krevum Pharmaceuticals,0.4250519323964055,1,0.4472761033673943,private_test
11085,Jovik Asset,0.8453435038747924,3,0.7667294958189877,private_test
11086,Strynal Industries,0.6278011460294469,2,0.3518350359341047,private_test
11087,Pleven Trading,0.5582216579652906,2,0.44606868759719787,private_test
11088,Nerval Biopharma,0.9675653868027693,5,0.8596360118953255,private_test
11089,Wyrnik Sciences,0.48830385747588,2,0.385530744368694,private_test
11090,Nolvol Resources,0.6721720931882379,3,0.725007682962624,private_test
11091,Ulvyn Microchips,1.29628047829708,4,1.5054880926335494,private_test
11092,Ilval Financial,0.8768972897209056,4,0.399855467319354,private_test
11093,Orevov Solutions,0.7771979528155554,2,0.6639779533580246,private_test
11094,Holtar Stores,1.173379552105624,4,1.1065311494887975,private_test
11095,Arnos Marketplace,0.31152410669873737,2,0.4650656579616902,private_test
11096,Halvix Holdings,0.7487836479307856,2,0.7373406598357346,private_test
11097,Wyrnor Solutions,0.7191599007357383,3,0.48090426842686634,private_test
11098,Brevep Systems,0.4759351960472602,3,0.38740076863893835,private_test
11099,Wrelal Financial,0.5730017843941464,3,0.5933064545392314,private_test
11100,Jorvyl Securities,0.7937048987395875,4,0.5256249910459834,private_test
11101,Nerven Grid,0.4720332669376138,4,0.02501845478209802,private_test
11102,Zrovov Advisors,0.5878212435035431,2,0.7871643380834934,private_test
11103,Strynal Industries,0.7671031756667628,6,0.00788809016120584,private_test
11104,Varvov Retail,0.7311362556456468,4,0.8034904342849016,private_test
11105,Krevan Investments,0.2294838825902271,3,0.18282557691483742,private_test
11106,Zelval Energy,1.2062132558876408,4,1.329621097652319,private_test
11107,Ulvon Renewables,0.8649808643647814,2,0.6170349674608323,private_test
11108,Zrovex Industries,0.6417165290484164,2,0.518249555086293,private_test
11109,Creven Securities,0.32244177456376844,3,0.03384018434301672,private_test
11110,Joval Brands,1.1380357986654035,4,0.7121010667571278,private_test
11111,Varvov Retail,1.2206256259644768,4,1.141673312199713,private_test
11112,Holtum Asset,0.5715103327405825,2,0.11539713225149106,private_test
11113,Myrnon Therapeutics,1.1193376716068808,4,1.1556310090428916,private_test
11114,Talvix Holdings,0.7223732469460351,2,0.3313597349774664,private_test
11115,Joval Brands,0.9145234509394323,6,0.6655232676042424,private_test
11116,Myrnep Technologies,0.3330319498350781,2,0.38039630799543916,private_test
11117,Jovor Networks,0.7031597448756026,3,0.3232268186602461,private_test
11118,Yorval Partners,0.7071065559536088,4,1.4142131119072174,private_test
11119,Calvis Sciences,1.0883231196976255,4,1.1237245946528926,private_test
11120,Ulvyn Microchips,0.8068724700545435,3,0.6847990654522135,private_test
11121,Halvav Brands,0.13921904832956408,2,0.53565763082008,private_test
11122,Relvon Fuels,0.5779350048762322,1,0.5229040778178096,private_test
11123,Krevum Pharmaceuticals,0.8769130423664615,4,0.4602679143648577,private_test
